essay_num,condition,model,tic,thesis,organization,dev_support,dev_analysis,sentence_craft,grammar,citations,hallucination,total,overall_score,req_met,alignment,citation_count,unique_sources,ref_list_count,specificity,composite_score,rubric_raw,req_raw
1,promptly,chatGPT,2,3,3,3,2,2,3,1,2,21,78,6.0/6,100,12,12,14,23,87.5,"Title, Introduction, Conclusion: 2
Thesis/Focus: 3
Organization: 3
Development - Support: 3
Development - Analysis: 2
Sentence Craft & Style: 2
Grammar and Spelling: 3
Citations & References: 1
Hallucination: 2
Total: 21/27
Overall Score: 78/100","[1]: YES

[2]: YES

[3]: YES

[4]: YES

[5]: YES

[6]: YES

Requirements Met: 6/6"
1,promptly,claude,3,3,3,3,3,3,3,1,2,24,89,6.0/6,100,16,13,17,24,92.9,"Title, Introduction, Conclusion: 3
Thesis/Focus: 3
Organization: 3
Development - Support: 3
Development - Analysis: 3
Sentence Craft & Style: 3
Grammar and Spelling: 3
Citations & References: 1
Hallucination: 2
Total: 24/27
Overall Score: 89/100","[1]: YES
[2]: YES
[3]: YES
[4]: YES
[5]: YES
[6]: YES

Requirements Met: 6/6"
1,prompt-only,chatGPT,2,3,2,2,2,2,3,1,2,19,70,6.0/6,100,0,0,0,0,42.5,"Title, Introduction, Conclusion: 2
Thesis/Focus: 3
Organization: 2
Development - Support: 2
Development - Analysis: 2
Sentence Craft & Style: 2
Grammar and Spelling: 3
Citations & References: 1
Hallucination: 2
Total: 19/27
Overall Score: 70/100","[1]: YES
[2]: YES
[3]: YES
[4]: YES
[5]: YES
[6]: YES

Requirements Met: 6/6"
1,prompt-only,claude,3,3,3,3,2,3,3,2,2,24,89,6.0/6,100,8,0,0,14,61.2,"Title, Introduction, Conclusion: 3
Thesis/Focus: 3
Organization: 3
Development - Support: 3
Development - Analysis: 2
Sentence Craft & Style: 3
Grammar and Spelling: 3
Citations & References: 2
Hallucination: 2
Total: 24/27
Overall Score: 89/100","[1]: YES
[2]: YES
[3]: YES
[4]: YES
[5]: YES
[6]: YES

Requirements Met: 6/6"
1,cram,chatGPT,2,3,3,3,2,2,3,1,2,21,78,6.0/6,100,0,0,0,0,44.5,"Title, Introduction, Conclusion: 2
Thesis/Focus: 3
Organization: 3
Development - Support: 3
Development - Analysis: 2
Sentence Craft & Style: 2
Grammar and Spelling: 3
Citations & References: 1
Hallucination: 2
Total: 21/27
Overall Score: 78/100","[1]: YES
[2]: YES
[3]: YES
[4]: YES
[5]: YES
[6]: YES

Requirements Met: 6/6"
1,cram,claude,3,3,3,3,3,3,3,2,3,26,96,6.0/6,100,10,4,0,5,60.7,"Title, Introduction, Conclusion: 3
Thesis/Focus: 3
Organization: 3
Development - Support: 3
Development - Analysis: 3
Sentence Craft & Style: 3
Grammar and Spelling: 3
Citations & References: 2
Hallucination: 3
Total: 26/27
Overall Score: 96/100","[1]: YES

[2]: YES

[3]: YES

[4]: YES

[5]: YES

[6]: YES

Requirements Met: 6/6"
2,promptly,chatGPT,2,3,3,2,2,2,3,1,2,20,74,5.5/6,92,6,4,6,7,55.2,"Title, Introduction, Conclusion: 2
Thesis/Focus: 3
Organization: 3
Development - Support: 2
Development - Analysis: 2
Sentence Craft & Style: 2
Grammar and Spelling: 3
Citations & References: 1
Hallucination: 2
Total: 20/27
Overall Score: 74/100","[1]: YES
[2]: YES
[3]: YES
[4]: YES
[5]: YES
[6]: PARTIAL

Requirements Met: 5.5/6"
2,promptly,claude,3,3,3,3,3,3,3,2,2,25,93,6.0/6,100,11,7,8,13,72.9,"Title, Introduction, Conclusion: 3
Thesis/Focus: 3
Organization: 3
Development - Support: 3
Development - Analysis: 3
Sentence Craft & Style: 3
Grammar and Spelling: 3
Citations & References: 2
Hallucination: 2
Total: 25/27
Overall Score: 93/100","[1]: YES

[2]: YES

[3]: YES

[4]: YES

[5]: YES

[6]: YES

Requirements Met: 6/6"
2,prompt-only,claude,3,3,3,3,2,3,3,3,2,25,93,5.5/6,92,10,3,8,11,62.2,"Title, Introduction, Conclusion: 3
Thesis/Focus: 3
Organization: 3
Development - Support: 3
Development - Analysis: 2
Sentence Craft & Style: 3
Grammar and Spelling: 3
Citations & References: 3
Hallucination: 2
Total: 25/27
Overall Score: 93/100","[1]: YES
[2]: YES
[3]: YES
[4]: PARTIAL
[5]: YES
[6]: YES

Requirements Met: 5.5/6"
2,cram,chatGPT,2,3,3,3,2,3,3,2,2,23,85,6.0/6,100,3,3,4,6,57.2,"Title, Introduction, Conclusion: 2
Thesis/Focus: 3
Organization: 3
Development - Support: 3
Development - Analysis: 2
Sentence Craft & Style: 3
Grammar and Spelling: 3
Citations & References: 2
Hallucination: 2
Total: 23/27
Overall Score: 85/100","1: YES
2: YES
3: YES
4: YES
5: YES
6: YES

Requirements Met: 6/6"
2,cram,claude,3,3,3,3,3,3,3,3,2,26,96,6.0/6,100,18,5,5,11,68.3,"Title, Introduction, Conclusion: 3
Thesis/Focus: 3
Organization: 3
Development - Support: 3
Development - Analysis: 3
Sentence Craft & Style: 3
Grammar and Spelling: 3
Citations & References: 3
Hallucination: 2
Total: 26/27
Overall Score: 96/100","[1]: YES

[2]: YES

[3]: YES

[4]: YES

[5]: YES

[6]: YES

Requirements Met: 6/6"
